user_prompts,prompt_score,topics,hallucination_score,instance_ids,models,instance_id,tier
Recommend some restaurants in Fuzhou City,4.125,2,2.676653448657582,"27,126","['claude-1', 'gpt-4']",4,1
what kind of poem rhymes on every even numbered line?,4.375,13,2.121320343559643,"392,396","['claude-1', 'gpt-4']",20,1
What are the best solutions for quickly and easily testing prompts with multiple different LLM models/services?,4.625,21,1.299867367239363,508,['claude-1'],193,1
"What is an ""enforcer"" role in cricket?",4.25,22,0.753778361,"523,526,527","['gpt-3.5-turbo', 'gpt-4']",597,1
"When I use spell Animate Object, what creature type are object considered for purpose of spell effects ?",4.125,25,2.078804601550749,594,['claude-1'],23,1
Please compare the performance of A100 and H100 NVIDIA GPUs.,4.5,28,1.386750490563073,605,['gpt-4'],157,1
"What does the term ""triumphantly"" refer to?
A) To achieve victory with humility
B) To achieve victory with arrogance
C) To achieve victory with ease
D) To achieve victory with difficulty and effort",4.125,33,1.0206207261596576,"702,703","['claude-2', 'gpt-4']",344,1
What are some applications and use cases of Large Language Models?,5,41,0.3500700210070024,537,['vicuna-13b'],119,3
What are the ways people can make money by assisting others?,5,61,0.3429971702850176,401,['vicuna-13b'],121,3
"List 5 best textbooks for ""Introduction to quantum mechanics"" course for undergraduate students.",4.625,62,2.7529888064467407,"950,951",['gpt-4'],2,1
can you tell me the differences between right-wing and left-wing?,5,83,0.3273268353539886,116,['vicuna-13b'],129,3
"I am writing a dissertation about science communication on YouTube. I intend to compare four french science-communication channels with four english ones. In the definitions chapter, I intend to set the context for YouTube in France and the U. S. can you help me establish a history of YouTube in France ? Please cite academic sources (books, studies, articles).",4.125,92,1.563858105428061,1149,['claude-1'],106,1
how do I calculate the area of a circle ?,5,96,0.4082482904638631,99,['vicuna-13b'],93,3
Give me a review of CRTO (Certified red team operator). Is it worth it or the alternatives are better,4.125,103,1.7062503692543616,1216,['claude-1'],70,1
How to solve a quadratic equation?,5,105,0.8660254037844387,1224,['gpt-3.5-turbo'],469,1
"Is the ""tough on crime"" approach more effective than harm reduction? Give me some arguments for and against.",4.75,110,0.8660254037844386,720,['llama-2-13b-chat'],220,2
What are the differences and similarities between Russian and Ukrainian?,4.5,121,1.5411035007422442,"13,341,336","['gpt-3.5-turbo', 'gpt-4']",110,1
Example of a lawsuit filed in a court of law for police misconduct,4.625,123,1.9245008972987525,1376,['claude-1'],35,1
How much carbon produces one kilometer by plane,4.5,135,1.4552137502179978,800,['vicuna-33b'],52,2
How to read a balance sheet? What does it tell me?,5,137,0.4931969619160719,48,['vicuna-13b'],72,3
do you know the layout of a dartboard?,4.375,141,1.0552897060221726,1480,['gpt-3.5-turbo'],326,1
Tell me about the American education system.,5,142,0.5477225575051661,"79,80",['vicuna-13b'],62,3
Explain how bitcoin works like I am 10,4.5,147,0.8029550685469661,1245,['wizardlm-13b'],250,2
How many flavors of coke are there?,4.25,152,0.769800359,1534,['claude-2'],574,1
Are there any small cap stocks with a very stable stock price performance like Novo Nordisk?,4.25,159,1.2480754415067656,1566,['claude-2'],221,1
What are the topics that one learns in Pre Calc that are useful in linear algebra?,4.5,162,0.7559289460184544,1590,['claude-1'],587,1
"Please explain the standoff over deficit and spending, in the context of the U.S. Congress.",4.5,173,0.8164965809277261,"921,922","['vicuna-33b', 'llama-2-13b-chat']",247,2
Give me use cases of using calculus in study of economics,4.75,196,0.8846517369293828,"16,971,702","['claude-1', 'gpt-4']",451,1
what is the relationship between Elsevier and Engineering Information Inc.,4.25,207,1.2747548783981963,1761,['claude-1'],203,1
"I use python pandas dataframe to insert data into sqlserver tables. one dataframe has extra columns than sqlserver table, will the insertion fail?",4.5,210,1.5811388300841895,1004,['llama-2-13b-chat'],41,2
What are some good uses for overripe avocados?,4.625,214,1.1726039399558574,"10,081,317","['wizardlm-13b', 'claude-instant-1']",105,2
Where does the Poetry Python package manager store the Python packages?,4.375,221,1.1067971810589328,1798,['claude-1'],290,1
What is handleClick in Javascript?,4.75,228,0.7559289460184544,1037,['llama-2-13b-chat'],275,2
What are the benefits of crowdsourcing?,5,238,0.3535533905932738,307,['vicuna-13b'],111,3
"Provide some example kubernetes audit events for someone running ""kubectl exec"" commands",4.5,247,0.7905694150420948,1082,['llama-2-13b-chat'],259,2
How do I defeat Guardians in Breath of the Wild?,4.25,254,0.9428090415820636,1936,['gpt-4'],408,1
what are main AI models in development currently known and available to the public,4.375,265,0.7833494518006403,1977,['gpt-4'],555,1
Is there a better battery than the LiFePO4?,4.25,277,0.8944271909999159,1992,['claude-2'],446,1
free commercial use text to voice tools,4.5,278,0.7637626158259734,1128,['llama-2-13b-chat'],270,2
"talking about the project ITER for a thermonuclear reactor, tell me which other similar projects exists and their status",4.375,286,1.0041580220928046,2032,['claude-2'],361,1
How to use discord package in Python3 ,4.75,292,0.8029550685469661,2045,['claude-1'],523,1
Sorry my cat stepped on my keyboard. I was trying to ask what is the absolute maximum network speed achievable as of today?,4.875,302,0.7826237921249264,1157,['llama-2-13b-chat'],262,2
what is RDD vs Dataframe and dataset,4.625,306,1.1,1369,['wizardlm-13b'],127,2
how to travel from beijing to shanghai ,4.5,330,0.7826237921249264,2112,['gpt-3.5-turbo'],559,1
Why did it take so long for the Log4Shell vulnerability to be discovered?,4.375,336,1.058475493514314,"21,262,128","['claude-1', 'gpt-3.5-turbo']",324,1
what are your sources of information?,5,339,0.4330127018922193,200,['vicuna-13b'],85,3
I want to plant a garden plant that blossoms in April. Any ideas?,4.625,354,0.8215838362577491,1209,['llama-2-13b-chat'],244,2
What is the token limit for inputs?,4.5,360,0.9486832980505138,1219,['vicuna-33b'],177,2
"Can you please make a list of the common timezone names, and map these to the identifiers from the tz-database. ",4.75,373,1.25,2185,['gpt-3.5-turbo'],218,1
"What is the best easy to use for beginners, 3d printer under $300?",4.125,375,1.3926212476455828,2197,['claude-1'],156,1
